Client ID,Client Name,Team,Recency,Frequency,Monetary Value,Subscription Length,AVG Month,รายได้/เดือน,Sale Volume,Lost Type,Lost Reason Criteria,Sale Volume Count,New Sales,Recontract,Recontract (Delay),Upgrade,Upsell,Win Back,Cluster
CL1091,UN Resident Coordinator Office in Thailand,Lunar,7,2,940000.0,18,13,72307.69230769231,"Recontract, Recontract (Delay)",หมดสัญญาปกติ,ปรับโครงสร้าง,2,0,1,1,0,0,0,3
CL1092,บริษัท เจพี วัน คอนซัลแทนท์ จำกัด,Other,27,1,46728.97,0,27,1730.7025925925927,New Sales,,,1,1,0,0,0,0,0,1
CL1094,แมจิก บ๊อกซ์ ดิจิตอล จำกัด,Other,27,1,100000.0,0,27,3703.703703703704,New Sales,,,1,1,0,0,0,0,0,1
CL1095,บริษัท ทีพีซีเอส จำกัด (มหาชน),Draco,23,1,140000.0,2,23,6086.95652173913,New Sales,,,1,1,0,0,0,0,0,4
CL1099,บริษัท ไลค์ มี เอ๊กซ์ จำกัด,Other,18,2,114018.69,9,22,5182.667727272728,"New Sales, New Sales",,,2,2,0,0,0,0,0,4
CL1101,บริษัท เทอร์ร่า ดิจิทัล เวนเจอร์ส จำกัด (สำนักงานใหญ่),Solar,21,2,300000.0,5,23,13043.478260869566,"New Sales, Recontract (Delay)",,,2,1,0,1,0,0,0,4
CL1103,บริษัท เวิร์คสมาร์ท เพลย์ฮาร์ดเดอร์ จำกัด (สำนักงานใหญ่),Pegasus,6,1,175200.0,15,13,13476.923076923076,New Sales,,,1,1,0,0,0,0,0,0
CL1105,บริษัท บี.กริม แคเรียร์ (ประเทศไทย) จำกัด,Draco,7,2,720000.0,19,19,37894.73684210526,"New Sales, Win Back",,,2,1,0,0,0,0,1,3
CL1113,บริษัท ข้อมูลเครดิตแห่งชาติ จำกัด (สำนักงานใหญ่),Draco,13,2,1642755.0,12,13,126365.76923076923,"New Sales, Upsell",,,2,1,0,0,0,1,0,0
CL1118,บริษัท อินเตอร์ลิ้งค์ เทเลคอม จำกัด (มหาชน),Other,14,1,17196261.68,12,20,859813.084,New Sales,,,1,1,0,0,0,0,0,2
CL1119,บริษัท เซ้นส์ เอนเตอร์เทนเมนท์ จำกัด (สำนักงานใหญ่),Draco,19,1,240000.0,6,21,11428.57142857143,New Sales,,,1,1,0,0,0,0,0,4
CL1121,บริษัท โอ.ที.ดี.เอ็ม ดิจิตอล มาร์เก็ตติ้ง จำกัด,Draco,13,1,33169.0,12,13,2551.4615384615386,New Sales,,,1,1,0,0,0,0,0,4
CL1122,บริษัท เอดีเค คอนเน็กท์ (ประเทศไทย) จำกัด,Pegasus,14,1,770000.0,12,20,38500.0,New Sales,,,1,1,0,0,0,0,0,4
CL1123,บริษัท ซีเคียวร์ เซอร์ฟ จำกัด,Lunar,5,1,275000.0,3,5,55000.0,New Sales,หมดสัญญาปกติ,อื่นๆ,1,1,0,0,0,0,0,0
CL1124,บริษัท เลิศ โกลบอล กรุ๊ป จำกัด,Draco,25,1,12500.0,0,25,500.0,New Sales,,,1,1,0,0,0,0,0,1
CL1125,บริษัท เบรนเนอร์จี้ จำกัด,Other,24,1,186915.89,0,24,7788.162083333334,New Sales,,,1,1,0,0,0,0,0,4
CL1126,บริษัท ไลฟ์ เนชั่น เทโร เอ็นเทอร์เทนเม้นท์ จำกัด,Pegasus,25,1,40000.0,0,25,1600.0,New Sales,,,1,1,0,0,0,0,0,1
CL1128,บริษัท  ดิจิทัล แฟคตอรี่  จำกัด  (สำนักงานใหญ่),Lunar,13,1,348000.0,12,19,18315.78947368421,New Sales,หมดสัญญาปกติ,อื่นๆ,1,1,0,0,0,0,0,4
CL1130,บริษัท ปิโก (ไทยแลนด์) จำกัด (มหาชน) ,Other,25,1,9345.79,1,25,373.8316,New Sales,,,1,1,0,0,0,0,0,1
CL1134,บริษัท เวิร์คส์ ครีเอทีฟ จำกัด (สำนักงานใหญ่),Pegasus,7,2,960000.0,18,11,87272.72727272728,"New Sales, Recontract",,,2,1,1,0,0,0,0,3
CL1136,บริษัท ไดอารี่ กรุ๊ป (2007) จำกัด,Lunar,19,1,200000.0,6,21,9523.809523809525,New Sales,,,1,1,0,0,0,0,0,4
CL1138,บริษัท หลักทรัพย์ ลิเบอเรเตอร์ จำกัด,Draco,13,1,320000.0,12,16,20000.0,New Sales,,,1,1,0,0,0,0,0,4
CL1139,บริษัท เจซี อ็อพติมัส จํากัด,Solar,18,1,70000.0,6,20,3500.0,New Sales,,,1,1,0,0,0,0,0,4
CL1140,บริษัท นิคเคอิ รีเสิร์ช แอนด์ คอนซัลติ้ง  (ประเทศไทย) จำกัด (สำนักงานใหญ่),Lunar,11,2,440000.0,14,18,24444.444444444445,"New Sales, New Sales",หมดสัญญาปกติ,ตัด/ลด งบ,2,2,0,0,0,0,0,4
CL1141,เมืองพัทยา ,Solar,2,2,5056074.76,15,4,1264018.69,"New Sales, New Sales",หมดสัญญาปกติ,อื่นๆ,2,2,0,0,0,0,0,2
CL1144,คอลเกต-ปาล์มโอลีฟ (ประเทศไทย),Lunar,2,2,805000.0,21,11,73181.81818181818,"Recontract, Recontract",หมดสัญญาปกติ,ไม่มีเวลา/คนใช้งาน,2,0,2,0,0,0,0,3
CL1145,บริษัท คาโอ อินดัสเตรียล (ประเทศไทย) จํากัด,Lunar,12,1,300000.0,12,17,17647.058823529413,Win Back,หมดสัญญาปกติ,ไม่มีเวลา/คนใช้งาน,1,0,0,0,0,0,1,4
CL1149,บริษัท แพนเดมิค จำกัด (สำนักงานใหญ่),Pegasus,12,1,80000.0,12,15,5333.333333333333,New Sales,,,1,1,0,0,0,0,0,4
CL1150,บริษัท กตัญญู86 จำกัด,Solar,13,1,194400.0,11,19,10231.578947368422,New Sales,Terminate,ตัด/ลด งบ,1,1,0,0,0,0,0,4
CL1153,บริษัท กู๊ด แอนด์ กรูวี่ จำกัด,Draco,15,1,240000.0,9,21,11428.57142857143,New Sales,,,1,1,0,0,0,0,0,4
CL1155,บริษัท คอราไลน์ จำกัด,Draco,12,1,260000.0,12,17,15294.117647058823,New Sales,,,1,1,0,0,0,0,0,4
CL1156,บริษัท เอส เทลลิเจนซ์ จำกัด,Other,23,1,9250.0,0,23,402.1739130434783,New Sales,,,1,1,0,0,0,0,0,4
CL1157,บริษัท ดิจิตอล ไอ ดู จำกัด,Pegasus,21,1,227000.0,3,21,10809.52380952381,New Sales,,,1,1,0,0,0,0,0,4
CL1162,บริษัท รังสิตพลาซ่า จำกัด,Lunar,14,2,280000.0,8,17,16470.58823529412,"New Sales, Recontract",,,2,1,1,0,0,0,0,4
CL1163,บริษัท ทองมาดิจิทัล จำกัด,Draco,10,1,305000.0,12,16,19062.5,New Sales,,,1,1,0,0,0,0,0,4
CL1164,คุณรวมพร เฟื่องฟูลอย,Solar,21,2,60000.0,2,21,2857.1428571428573,"New Sales, Recontract",,,2,1,1,0,0,0,0,4
CL1165,บริษัท ออคโทพัส 1 จำกัด,Pegasus,10,1,150000.0,6,12,12500.0,New Sales,,,1,1,0,0,0,0,0,0
CL1171,บริษัท เนอวานา ดีเวลลอปเม้นท์ จำกัด(มหาชน),Pegasus,16,2,140000.0,6,19,7368.421052631579,"New Sales, Win Back",,,2,1,0,0,0,0,1,4
CL1174,บริษัท ทีพีซีเอกซ์ จำกัด,Draco,14,2,84000.0,9,16,5250.0,"New Sales, Upsell",,,2,1,0,0,0,1,0,4
CL1176,คณะวิทยาการเรียนรู้และศึกษาศาสตร์ มหาวิทยาลัยธรรมศาสตร์,Pegasus,19,1,200000.0,3,20,10000.0,New Sales,,,1,1,0,0,0,0,0,4
CL1177,บริษัท อินโฟแกรมเมอร์ จำกัด,Pegasus,22,1,50000.0,0,22,2272.7272727272725,New Sales,,,1,1,0,0,0,0,0,4
CL1180,กรมประชาสัมพันธ์,Pegasus,7,2,915598.13,15,11,83236.19363636363,"New Sales, Win Back",,,2,1,0,0,0,0,1,0
CL1181,บริษัท อันไตเติลด์ แล็บ จำกัด,Pegasus,14,1,150000.0,6,14,10714.285714285714,New Sales,,,1,1,0,0,0,0,0,4
CL1184,บริษัท รู้ใจ จำกัด,Draco,15,1,212000.0,6,16,13250.0,New Sales,,,1,1,0,0,0,0,0,4
CL1185,บริษัท ไอริส คอนซัลติ้ง จำกัด,Other,16,2,24345.79,5,18,1352.543888888889,"New Sales, New Sales",,,2,2,0,0,0,0,0,4
CL1186,บริษัท ครีเอทีฟทอล์ค จํากัด (สํานักงานใหญ่),Other,8,3,220000.0,13,18,12222.222222222224,"New Sales, New Sales, New Sales",,,3,3,0,0,0,0,0,4
CL1189,บริษัท เคทู เวนเจอร์ จํากัด,Pegasus,12,2,40000.0,10,12,3333.333333333333,"New Sales, Recontract",,,2,1,1,0,0,0,0,4
CL1190,โครงการนวัตกรรมแพลตฟอร์มฯ (FF66) มหาวิทยาลัยสวนดุสิต,Lunar,15,1,74766.36,7,15,4984.424,New Sales,,,1,1,0,0,0,0,0,4
CL1191,บริษัท อะมิตี้ โซลูชั่นส์ ​คอร์ปอเรชั่น จำกัด,Solar,10,1,100000.0,12,10,10000.0,New Sales,Onetime by CXM,"Fee (API, Integrate)",1,1,0,0,0,0,0,0
CL1192,บริษัท ไพรม์ เฮลท์ ฟาร์มาซูติคอล จำกัด,Draco,13,1,303000.0,2,13,23307.69230769231,New Sales,,,1,1,0,0,0,0,0,4
CL1193,บริษัท กันต์ธิ คอร์ปอเรชั่น จำกัด,Draco,11,2,36037.380000000005,9,13,2772.106153846154,"New Sales, Recontract (Delay)",,,2,1,0,1,0,0,0,4
CL1195,มูลนิธิสถาบันวิจัยและพัฒนาองค์กรภาครัฐ,Other,16,2,22429.9,5,18,1246.1055555555556,"New Sales, New Sales",,,2,2,0,0,0,0,0,4
CL1196,บริษัท มิซึฮาดะ กรุ๊ป จำกัด,Lunar,4,1,536000.0,17,13,41230.769230769234,New Sales,หมดสัญญาปกติ,ไม่มีเวลา/คนใช้งาน,1,1,0,0,0,0,0,0
CL1197,บริษัท อมรินทร์ คอร์ปอเรชั่นส์ จำกัด (มหาชน),Pegasus,20,1,80000.0,0,20,4000.0,New Sales,,,1,1,0,0,0,0,0,4
CL1198,บริษัท อีเทลลิเจนซ์ จำกัด,Other,14,1,1200000.0,12,14,85714.28571428571,New Sales,,,1,1,0,0,0,0,0,4
CL1202,บริษัท อินโนคอป จำกัด,Other,20,1,16500.0,0,20,825.0,New Sales,,,1,1,0,0,0,0,0,4
CL1205,บริษัท ปูนซีเมนต์เอเซีย จำกัด (มหาชน),Draco,18,1,125000.0,1,18,6944.444444444444,New Sales,,,1,1,0,0,0,0,0,4
CL1207,"ALGORITHM BANGKOK CO., LTD.",Lunar,2,3,520000.0,18,11,47272.72727272727,"New Sales, Recontract, Upsell",Adhoc by CXM,Adhoc,3,1,1,0,0,1,0,0
CL1208,บริษัท ตันตราภัณฑ์ซุปเปอร์มาร์เก็ต (1994) จำกัด,Pegasus,17,1,18000.0,3,18,1000.0,New Sales,,,1,1,0,0,0,0,0,4
CL1210,บริษัท เอส ไอ จี คอมบิบล็อค จำกัด,Draco,19,1,100000.0,1,19,5263.1578947368425,New Sales,,,1,1,0,0,0,0,0,4
CL1212,ภาณุฤทธิ์ สารสมบัติ,Other,19,1,4672.9,0,19,245.94210526315788,New Sales,,,1,1,0,0,0,0,0,4
CL1213,บริษัท ฮีโร่ลีดส์ (ไทยแลนด์) จำกัด (สำนักงานใหญ่),Lunar,8,2,275000.0,12,15,18333.33333333333,"New Sales, Upsell",หมดสัญญาปกติ,ตัด/ลด งบ,2,1,0,0,0,1,0,4
CL1215,บริษัท โพสิทีฟ ดิจิตอล แอนด์ มาร์เก็ตติ้ง จำกัด,Lunar,15,1,70000.0,3,16,4375.0,New Sales,,,1,1,0,0,0,0,0,4
